title,date,stock,price_after_a_week
"US stocks close lower for the session following a volatile quarter amid growing concerns over the global coronavirus pandemic, including increasing cases in the US and Europe.",2020-03-31,QQQ,3.151260603506112
"US Stocks Open: S&P 500 Down 1.6%, Dow Down 1.7%, Nasdaq Down 0.3%, Russell Down 4.2%",2020-03-23,QQQ,12.65985281814521
"S&P 500 Futures Up ~4.5%, Dow Futures Up ~4.9%, Nasdaq Futures Up ~4.9%, Russell Up 6.8%",2020-03-20,QQQ,8.55302065412456
"S&P 500 Down 2%, DJIA Down 2.6%, Nasdaq Down 1%, Russell Down 10%",2020-03-19,QQQ,8.015304333776783
The Most Shorted ETFs Amid The Coronavirus Market Crash,2020-03-18,QQQ,3.2276312606693773
"S&P 500 Down ~5.5% Upon Open, DJIA Down 6.4%, Nasdaq Down 5.7%, Russell Up 6.6%",2020-03-18,QQQ,3.2276312606693773
"S&P 500 Down 9.5%, Dow Down 11.6%, Nasdaq Down 11.7%",2020-03-16,QQQ,0.6851765974274593
4 Bearish ETFs Just Right For A Wild Market With Coronavirus Volatility,2020-03-06,QQQ,-7.537740456922588
"The Coronavirus Outbreak's Impact On Global Stocks, Commodities, ETFs",2020-03-02,QQQ,-10.55816986006995
"US indices are lower for the session, driven by negative sentiment after Apple said it does not expect to meet its quarterly sales forecast as a result of the coronavirus. The announcement has especially impacted Apple suppliers and chipmakers.",2020-02-18,QQQ,-8.247774604827246
US equities are trading higher amid upbeat investor sentiment following recent reports from China suggesting the number of new coronavirus cases has slowed.,2020-02-12,QQQ,1.1567814716902467
US equities are trading higher as unconfirmed reports of progress towards a coronavirus treatment raise investor sentiment amid the virus outbreak. NOTE: The WHO played down these reports and said there are no known treatments against the virus.,2020-02-05,QQQ,2.650952139817055
"Nasdaq Hits 9,000 As Amazon Rallies On 'Record-Breaking' Holiday Numbers",2019-12-26,QQQ,1.108569660695006
"BZ Market Update: US Equities Up For The Session Following Multiple Positive Trade Developments, Including Reports Suggesting The US Has Reached A Phase 1 Deal With China",2019-12-12,QQQ,2.106438480132648
"S&P 500 Futures Fall 12 Points Following Headline Phase 1 Deal With US, China May Not Be Completed In 2019",2019-11-20,QQQ,1.92431319092694
"Q3 13F Roundup: How Buffett, Einhorn, Ackman And Others Adjusted Their Portfolios",2019-11-15,QQQ,-0.5322566550242536
"Former Market Maker Keith Harwood On Combining Technical Trading, Leveraged Derivatives",2019-10-31,QQQ,1.6998127491393005
"Benzinga Pro Mid-Day Price Check For Major Averages: Dow Jones Up 0.1%, Nasdaq Down 0.1%, S&P 500 (SPY) Down 0.1%, Russell Down 0.4%",2019-10-14,QQQ,1.20362292539897
"Benzinga Pro Mid-Day Price Check For Major Averages: Russell Up 2.5%, Nasdaq Up 2%, S&P 500 (SPY) Up 2%, Dow Jones Up 1.8%",2019-10-11,QQQ,0.3034906582413662
"Benzinga Pro Mid-Day Price Check For Major Averages: Russell Up 0.2%, Nasdaq Down 0.1%, S&P 500 (SPY) Down 0.2%, Dow Jones Down 0.2",2019-10-07,QQQ,1.5140198280381565
"Benzinga Pro Mid-Day Price Check For Major Averages: Nasdaq Up 1%, S&P 500 (SPY) Up 0.7%, Dow Jones Up 0.3%, Russell Up 0.3%",2019-10-03,QQQ,1.4026903325692852
"Benzinga Pro Mid-Day Price Check For Major Averages: Nasdaq Down 0.9%, S&P 500 (SPY) Down 1.1%, Dow Jones Down 1.1% , Russell Down 1%",2019-10-01,QQQ,-0.9878816470789458
"Benzinga Pro Mid-Day Price Check For Major Averages: Nasdaq Up 0.8%, S&P 500 (SPY) Up 0.7%, Dow Jones Up 0.6, Russell Up 0.3%",2019-09-30,QQQ,-0.30188708544979215
"Benzinga Pro Mid-Day Price Check For Major Averages: Russell Up 0.8%, Dow Jones Up 0.5, Nasdaq Up 0.4%, S&P 500 (SPY) Up 0.3%",2019-09-25,QQQ,-3.1723479253751288
"Benzinga Pro Mid-Day Price Check For Major Averages: , Nasdaq Up 1.6%, Russell Up 1.5%, Dow Jones Up 0.8, S&P 500 (SPY) Up 0.1%",2019-09-24,QQQ,-0.37239825305953805
EquityStat Wants To Help You Manage Your Investment Portfolio,2019-09-24,QQQ,-0.37239825305953805
"Benzinga Pro Mid-Day Price Check For Major Averages: Russell Up 0.1%, Dow Jones Up 0.1%, S&P 500 (SPY) Up 0.1%, Nasdaq Up 0.1%",2019-09-23,QQQ,-0.887140157480311
"Benzinga Pro Mid-Day Price Check For Major Averages: Russell Up 0.4%, Dow Jones Up 0.2% S&P (SPY) Up 0.2%, Nasdaq Down 0.2%",2019-09-20,QQQ,-1.9758930506935053
Chart Pro On Microsoft: 'Watch Out' If Stock Hits $155,2019-09-20,QQQ,-1.9758930506935053
"Benzinga Pro Mid-Day Price Check For Major Averages: Russell Up 0.5%, S&P (SPY) Down 0.4%, Nasdaq Down 0.4%, Dow Jones Down 0.5%",2019-09-16,QQQ,-0.6156057194764172
"Benzinga Pro Mid-Day Price Check For Major Averages: Russell Up 0.5%, Dow Jones Up 0.1%, S&P (SPY) Flat, Nasdaq Down 0.2%",2019-09-13,QQQ,-0.9037031594781484
"Benzinga Pro Mid-Day Price Check For Major Averages: Russell Up 1.1%, Nasdaq Up 0.9%, S&P (SPY) Up 0.5%, Dow Jones Up 0.4,",2019-09-11,QQQ,0.04677597218433826
"Benzinga Pro Mid-Day Price Check For Major Averages: Russell Up 1%, Dow Jones Flat, S&P (SPY) Down 0.2%, Nasdaq Down 0.3%,",2019-09-10,QQQ,1.0281194976296757
"Benzinga Pro Mid-Day Price Check For Major Averages: Nasdaq Up 1.6%, S&P (SPY) Up 1.4%, Dow Jones Up 1.7%, Russell Up 1.6%",2019-09-05,QQQ,0.7560731085414159
"Benzinga Pro Mid-Day Price Check For Major Averages: Nasdaq Up 1%, S&P (SPY) Up 0.9, Dow Jones Up 0.8%, Russell Up 0.6%",2019-09-04,QQQ,2.1770248799763663
"Benzinga Pro Mid-Day Price Check For Major Averages: Dow Jones Up 0.3%, S&P (SPY) Up 0.1, Russell Flat, Nasdaq Down 0.3",2019-08-30,QQQ,2.1976822841111616
"Benzinga Pro Mid-Day Price Check For Major Averages: Nasdaq Up 1.6%, Russell Up 1.5%, S&P (SPY) Up 1.4%, Dow Jones Up 1.4%",2019-08-29,QQQ,2.054066113815099
"Benzinga Pro Mid-Day Price Check For Major Averages: Russell Up 1.3%, Dow Jones Up 0.8%, S&P (SPY) Up 0.6%, Nasdaq Up 0.3%",2019-08-28,QQQ,1.7505030363715572
"Benzinga Pro Mid-Day Price Check For Major Averages: S&P Down 0.2%, Dow Jones Down 0.3%, Nasdaq Down 0.3%,  Russell Down 0.7%",2019-08-27,QQQ,0.661498154478592
Jon Najarian Sees Unusual Options Activity In QQQ And SLV,2019-08-23,QQQ,2.965888829784025
"Benzinga Pro Mid-Day Price Check For Major Averages: Dow Jones Up 1.1%, Nasdaq Up 1%, S&P (SPY) Up 0.9%, Russell Up 0.8%",2019-08-21,QQQ,-1.8766945375418917
"Benzinga Pro Mid-Day Price Check For Major Averages: Dow Jones Up 1.2%, S&P (SPY) Up 1.4%, Russell Up 1.4%, Nasdaq Up 1.6%",2019-08-19,QQQ,-1.9158234538595946
"Benzinga Pro Mid-Day Price Check For Major Averages: Dow Jones Up 0.4%, S&P (SPY) Up 0.3%, Nasdaq Flat, Russell Down 0.6%",2019-08-15,QQQ,2.9964398302420165
"Benzinga Pro Mid-Day Price Check For Major Averages:  S&P (SPY) Down 2.3%, Dow Jones Down 2.2%, Nasdaq Down 2.5%,  Russell Down 2.6%",2019-08-14,QQQ,3.2118681115087617
"Benzinga Pro Mid-Day Price Check For Major Averages: Nasdaq Up 2%, S&P 500 Up 1.6,  Dow Jones Up 1.6%, Russell Up 1.2%",2019-08-13,QQQ,-0.7537544495660795
'Shorting The Rally @realmoney I have just fully reestablished a large SPY (at $293.60) and QQQ (at $189.15) shorts - raising me back to medium sized short of exposure' -Tweet From Doug Kass,2019-08-13,QQQ,-0.7537544495660795
"Benzinga Pro Mid-Day Price Check For Major Averages: Nasdaq Down 0.7%, S&P 500 Down 0.8%, Russell Down 0.9%, Dow Jones Down 1.1%",2019-08-12,QQQ,2.2131743244966255
"Benzinga Pro Mid-Day Price Check For Major Averages:   Dow Jones Down 0.5%, S&P 500 Down 0.8%, Nasdaq Down 1.1%, Russell Down 1%",2019-08-09,QQQ,-0.5415888106174894
"Benzinga Pro Mid-Day Price Check For Major Averages:   Nasdaq Down 0.4, S&P 500 Down 0.6%, Russell Down 0.6%, Dow Jones Down 0.8%",2019-08-07,QQQ,-0.8086865671641772
"Benzinga Pro Mid-Day Price Check For Major Averages:  Dow Jones Up 0.8%, S&P 500 Up 0.7%, Russell Up 0.2%, Nasdaq Down 1%",2019-08-06,QQQ,2.7993037978637862
"Benzinga Pro Mid-Day Price Check For Major Averages:  Dow Jones Down 1%, S&P 500 Down 1.2%, Russell Down 1.3%, Nasdaq Down 1.8%",2019-08-02,QQQ,-0.45903441284117763
"Benzinga Pro Mid-Day Price Check For Major Averages: Nasdaq Down 0.8%, S&P 500 Down 1%, Dow Jones Down 1.1%, Russell Down 1.4%",2019-08-01,QQQ,-0.9939516485075403
"Benzinga Pro Mid-Day Price Check For Major Averages: Russell Up 0.6%, Nasdaq Up 0.1%, S&P 500 Up 0.1%,  Dow Jones Flat",2019-07-31,QQQ,-3.584513754541697
"Benzinga Pro Mid-Day Price Check For Major Averages: Dow Jones Down 0.2%, Nasdaq Down 0.3%, S&P 500 Down 0.4%, Russell Up 0.6%",2019-07-30,QQQ,-5.428838917477752
"Benzinga Pro Mid-Day Price Check For Major Averages: S&P 500 Down 0.2%, Dow Jones Down 0.6%, Nasdaq Down 0.6%, Russell Down 0.8%",2019-07-29,QQQ,-7.13698456317399
"Benzinga Pro Mid-Day Price Check For Major Averages: S&P 500 Down 0.4%, Dow Jones Down 0.7%, Nasdaq Down 1%, Russell Up 1%",2019-07-25,QQQ,-1.6295959395303328
"Benzinga Pro Mid-Day Price Check For Major Averages: Russell Up 0.9%, S&P 500 Up 0.2%, Nasdaq Up 0.4%,  Dow Jones Down 0.4%",2019-07-24,QQQ,-2.0753205864817934
"Benzinga Pro Mid-Day Price Check For Major Averages: Russell Up 0.4%, S&P 500 Up 0.3%, Dow Jones Up 0.2%, Nasdaq Up 0.1%",2019-07-23,QQQ,-0.005157129037104642
"Benzinga Pro Mid-Day Price Check For Major Averages: Russell Up 0.1%, S&P 500 Down 0.1%, Dow Jones Down 0.3%, Nasdaq Down 0.3%",2019-07-18,QQQ,0.457335520812141
"Benzinga Pro Mid-Day Price Check For Nasdaq Down 0.1%, Dow Jones Down 0.2%, Russell Down 0.3%, S&P 500 Down 0.3%",2019-07-17,QQQ,1.5348579844150552
"Benzinga Pro Mid-Day Price Check For Major Averages: Dow Jones Up 0.6%, Russell Up 0.6%, Nasdaq Up 0.4%, S&P 500 Up 0.3%",2019-07-12,QQQ,-1.3021257753429742
"Benzinga Pro Mid-Day Price Check For Major Averages: Dow Jones Up 0.7%, Nasdaq Up 0.2%, S&P 500 Up 0.2%, Russell Down 0.4%",2019-07-11,QQQ,0.0
"Benzinga Pro Mid-Day Price Check For Major Averages: Nasdaq Up 0.4%, S&P 500 Flat, Russell Down 0.2%, Dow Jones Down 0.3%",2019-07-09,QQQ,1.3059844475824127
"Benzinga Pro Mid-Day Price Check For Major Averages: Dow Jones Down 0.5, S&P 500 Down 0.6%,  Nasdaq Down 0.8%, Russell Down 0.9%,",2019-07-08,QQQ,2.3404073776666943
"Benzinga Pro Mid-Day Price Check For Major Averages: Dow Jones Down 0.4%, S&P 500 Down 0.5%, Russell Down 0.5%,  Nasdaq Down 0.6%",2019-07-05,QQQ,1.2980873912888657
"Benzinga Pro Mid-Day Price Check For Major Averages: S&P 500 Flat, Dow Jones Flat, Nasdaq Down 0.1%, Russell Down 0.8%",2019-07-02,QQQ,0.342092004160088
"Benzinga Pro Mid-Day Price Check For Major Averages:  Russell Up 0.5%, S&P 500 Up 0.7%, Dow Jones Up 0.4%, Nasdaq Up 1.2%",2019-07-01,QQQ,0.23777449640109455
"Benzinga Pro Mid-Day Price Check For Major Averages: Russell Up 0.9%, Nasdaq Up 0.3%, S&P 500 Up 0.3%, Dow Jones Up 0.2%",2019-06-28,QQQ,2.3080207157539743
"Benzinga Pro Mid-Day Price Check For Major Averages: Nasdaq Up 0.7%, Dow Jones Up 0.3%, S&P 500 Up 0.3%, Russell Up 0.1%",2019-06-26,QQQ,3.041072831086216
"Benzinga Pro Mid-Day Price Check For Major Averages: Russell Flat, Dow Jones Down 0.2%, S&P 500 Down 0.3%, Nasdaq Down 0.6%",2019-06-25,QQQ,2.7469865312761934
"Benzinga Pro Mid-Day Price Check For Major Averages: Dow Jones Up 0.1%, Nasdaq Flat, S&P 500 Flat,  Russell Flat",2019-06-19,QQQ,-0.7054716439235128
"Benzinga Pro Mid-Day Price Check For Major Averages: Nasdaq Up 1.6%, S&P 500 Up 1.1%, Dow Jones Up 1%, Russell Up 1%",2019-06-18,QQQ,-0.7939547064222962
"Benzinga Pro Mid-Day Price Check For Major Averages: Dow Jones Down 0.1%, S&P 500 Down 0.3%, Nasdaq Down 0.6%, Russell Down 0.7%",2019-06-14,QQQ,3.246828751898983
"Benzinga Pro Mid-Day Price Check For Major Averages: Dow Jones Up 0.2%, S&P 500 Up 0.3%, Nasdaq Up 0.5%, Russell Up 0.7%",2019-06-13,QQQ,2.9604231050095287
"Benzinga Pro Mid-Day Price Check For Major Averages: Nasdaq Down 0.1%, S&P 500 Down 0.1%, Dow Jones Down 0.1%, Russell Down 0.6%",2019-06-11,QQQ,1.6412268803018577
"Benzinga Pro Mid-Day Price Check For Major Averages: Nasdaq Up 2%, Russell Up 1.2%, S&P 500 Up 1.1%, Dow Jones Up 0.9%",2019-06-10,QQQ,0.322146338699855
"Benzinga Pro Morning Price Check For Major Averages: Nasdaq Down 0.1%, S&P 500 Up 0.2%, Dow Jones Up 0.2%, Russell Down 1%",2019-06-06,QQQ,3.271210499007869
"Benzinga Pro Morning Price Check For Major Averages: Nasdaq Up 1.4%, S&P 500 Down 0.4%, Dow Jones Down 0.2%, Russell Down 0.9%",2019-06-03,QQQ,7.659298955422615
"Benzinga Pro Morning Price Check For Major Averages: Nasdaq Up 0.2%, S&P 500 Up 0.1%, Russell Down 0.1%, Dow Jones Down 1%",2019-05-30,QQQ,0.47519204672304644
"Benzinga Pro Morning Price Check For Major Averages: S&P 500 Down 0.8%, Russell Down 0.9%, Nasdaq Down 0.9%, Dow Jones Down 1%",2019-05-29,QQQ,0.10225984265328923
"Benzinga Pro Morning Price Check For Major Averages: Russell Up 0.1%, S&P 500 Up 0.3%, Dow Jones Up 0.3%, Nasdaq Up 0.3%",2019-05-28,QQQ,-1.4536035423515876
"Benzinga Pro Morning Price Check For Major Averages: S&P 500 Down 1.5%, Dow Jones Down 1.6%, Russell Down 1.7%, Nasdaq Down 1.8%",2019-05-23,QQQ,-0.8302922861150068
"Benzinga Pro Afternoon Price Check For Major Averages: Dow Jones Up 0.7%, S&P 500 Up 1%, Nasdaq Up 1.2% Russell Down 1.4%",2019-05-21,QQQ,-2.3868431789381
"Benzinga Pro Morning Price Check For Major Averages: Dow Jones Down 0.2%, S&P 500 Down 0.3%, Nasdaq Down 0.4%, Russell Down 0.6%",2019-05-17,QQQ,-2.666078008427384
"Benzinga Pro Morning Price Check For Major Averages:  Dow Jones Down 2.3%, S&P 500 Down 2.4%, Russell Down 2.8%, Nasdaq Down 3.2%",2019-05-13,QQQ,0.7671603677101475
"Benzinga Pro Morning Price Check For Major Averages: Nasdaq Up 0.4%, Dow Jones Up 0.4%, S&P 500 Up 0.3%, Russell Flat",2019-05-08,QQQ,-1.4426484051752437
"Benzinga Pro Mid-Day Price Check For Major Averages: Russell Down 1.3%, Dow Jones Down 1.3%, S&P 500 Down 1.4%, Nasdaq Down 1.7%",2019-05-07,QQQ,-3.060573371440785
"Pete Najarian Sees Unusual Options Activity In ASHR, QQQ And Nike",2019-05-06,QQQ,-5.980835990514513
"Benzinga Pro Morning Price Check For Major Averages: Russell Down 0.6%, Dow Jones Down 0.7%, S&P 500 Down 0.8%, Nasdaq Down 0.9%",2019-05-06,QQQ,-5.980835990514513
"Benzinga Pro Morning Price Check For Major Averages: Nasdaq Up 1.1%, Russell Up 0.9%, S&P 500 Up 0.6%, Dow Jones Up 0.4%",2019-05-03,QQQ,-3.197112117643708
"Benzinga Pro Morning Price Check For Major Averages: Dow Jones Down 0.1%, S&P 500 Down 0.3%, Russell Down 0.7%, Nasdaq Down 1.2%",2019-04-30,QQQ,-1.7410510297950752
"Benzinga Pro Morning Price Check For Major Averages: S&P 500 Down 0.1%, Dow Jones Down 0.1%, Nasdaq Down 0.4%, Russell Down 0.8%",2019-04-26,QQQ,0.2412835113962913
"Benzinga Pro Mid-Day Price Check For Major Averages: Russell Up 1.7%, Nasdaq Up 1.2%, S&P 500 Up 0.9%, Dow Jones Up 0.6%",2019-04-23,QQQ,-0.4046056476759553
"Nasdaq Is Trading Above The Aug. 29-Closing High Of 8,109.687",2019-04-23,QQQ,-0.4046056476759553
"Benzinga Pro Mid-Day Price Check For Major Averages: S&P 500 Flat 0.03%, Nasdaq Flat 0.07%, Dow Jones Down 0.1%, Russell Down 0.6%",2019-04-22,QQQ,1.6496413542958892
"Benzinga Pro Mid-Day Price Check For Major Averages: S&P 500 Up 0.2%, Dow Jones Flat 0.1%, Nasdaq Flat 0.2%, Russell Down 0.1%",2019-04-18,QQQ,1.648965802065035
"Benzinga Pro Morning Price Check For Major Averages: Nasdaq Up 0.1%, S&P 500 Flat 0.02%, Dow Jones Flat 0.1%, Russell Down 0.7%",2019-04-17,QQQ,1.3678937120350632
"Benzinga Pro Morning Price Check For Major Averages: Russell Up 0.4%, S&P 500 Up 0.1%, Nasdaq Up 0.1%, Dow Jones Down 0.2%",2019-04-16,QQQ,2.0428943699731943
"Benzinga Pro Morning Price Check For Major Averages: Dow Jones Down 0.2%, S&P 500 Down 0.2%, Nasdaq Down 0.4%, Russell Down 0.4%",2019-04-15,QQQ,1.1083595119532907
"Benzinga Pro Morning Price Check For Major Averages: S&P 500 Down 0.1%, Russell Down 0.2%, Nasdaq Up 0.2%, Dow Jones Down 0.2%",2019-04-11,QQQ,1.2754688497836426
"Benzinga Pro Morning Price Check For Major Averages: Russell Up 0.3%, Nasdaq Up 0.2%, S&P 500 Up 0.1%, Dow Jones Flat",2019-04-10,QQQ,0.9058030899563083
"Benzinga Pro Mid-Day Price Check For Major Averages: Dow Jones Down 0.8%, Russell Down 0.5%, S&P 500 Down 6.5%, Nasdaq Down 0.5%",2019-04-09,QQQ,1.0949718364044199
"Benzinga Pro Morning Price Check For Major Averages: Dow Jones Down 0.7%, Russell Down 0.5%, S&P 500 Down 0.5%, Nasdaq Down 0.2%",2019-04-09,QQQ,1.0949718364044199
"Benzinga Pro Mid-Day Price Check For Major Averages: Russell Down 0.5%, Dow Jones Down 0.5%, Nasdaq Down 0.2%, S&P 500 Down 0.2",2019-04-08,QQQ,0.39431533532341223
"Benzinga Pro Morning Price Check For Major Averages: Russell Down 0.4%, Dow Jones Down 0.4%, Nasdaq Down 0.2%, S&P 500 Down 0.2",2019-04-08,QQQ,0.39431533532341223
"Benzinga Pro Morning Price Check For Major Averages: Russell Up 0.7%, Nasdaq Up 0.5%, S&P 500 Up 0.4, Dow Jones Up 0.2%",2019-04-05,QQQ,0.6335957839576464
"Benzinga Pro Mid-Day Price Check For Major Averages: Dow 30 Up 0.7%, Russell 2000 Flat Up 0.3%, S&P 500 Up 0.2%,  Nasdaq Down 0.1%",2019-04-04,QQQ,0.7185193782067699
"Benzinga Pro Mid-Day Price Check For Major Averages: Dow Jones Up 0.4%, Russell Up 0.1%, S&P 500 Down 0.1, Nasdaq Down 0.4%",2019-04-04,QQQ,0.7185193782067699
"Benzinga Pro Morning Price Check For Major Averages: Dow Jones Up 0.5%, Russell Up 0.3%, S&P 500 Up 0.1%, Nasdaq Down 0.1%,",2019-04-04,QQQ,0.7185193782067699
"Benzinga Pro Mid-Day Price Check For Major Averages: Nasdaq Up 11 (0.1%), S&P 500 Down 2 (0.1%), Russell 2000 Down 4 (0.3%), Dow 30 Down 105 (0.4%)",2019-04-02,QQQ,0.9576971697629765
"Benzinga Pro Morning Price Check For Major Averages: S&P 500 Down 2 (0.1%), Nasdaq Down 6 (0.1%), Dow 30 Down 47 (0.2%), Russell 2000 Down 3 (0.2%)",2019-04-02,QQQ,0.9576971697629765
"Benzinga Pro Morning Price Check For Major Averages: Dow 30 Up 202 (0.8%), Nasdaq Up 63 (0.8%), S&P 500 Up 20 (0.7%), Russell 2000 Up 11 (0.7%)",2019-04-01,QQQ,1.6974357936829856
"Benzinga Pro Mid-Day Price Check For Major Averages: Dow 30 Down 85 (0.3%), S&P 500 Down 15 (0.5%), Nasdaq Down 56 (0.7%), Russell 2000 Down 10 (0.7%)",2019-03-27,QQQ,3.305230578029143
2 Signals That It's Time To Shift From Growth Stocks To Value Stocks,2019-03-27,QQQ,3.305230578029143
"Benzinga Pro Mid-Day Price Check For Major Averages: Russell 2000 Up 7 (0.5%), Nasdaq Down 39 (0.5%), S&P 500 Down 10 (0.4%), Dow 30 Down 72 (0.3%)",2019-03-25,QQQ,2.1434137462495095
"Benzinga Pro Morning Price Check For Major Averages: Dow 30 Up 47 (0.2%), S&P 500 Up 32 (0.1%), Russell 2000 Flat, Nasdaq Down 15 (0.2%)",2019-03-25,QQQ,2.1434137462495095
"Benzinga Pro Afternoon Price Check For Major Averages: Nasdaq Up 113 (1.5%), S&P 500 Up 33 (1.2%), Russell 2000 Up 19 (1.2%), Dow 30 Up 240 (1.0%)",2019-03-21,QQQ,-2.333356431322258
"Benzinga Pro Mid-Day Price Check For Major Averages: Russell 2000 Up 20 (1.3%), Nasdaq Up 86 (1.1%), S&P 500 Up 5 (0.9%), Dow 30 Up 189 (0.7%)",2019-03-21,QQQ,-2.333356431322258
"Benzinga Pro Morning Price Check For Major Averages: Russell 2000 Up 11 (0.7%), Nasdaq Up 48 (0.6%), S&P 500 Up 11 (0.4%), Dow 30 Up 74 (0.3%)",2019-03-21,QQQ,-2.333356431322258
"Benzinga Pro Afternoon Price Check For Major Averages: Nasdaq Up 9 (0.1%), S&P 500 Down 7 (0.2%), Dow 30 Down 129 (0.5%), Russell 2000 Down 8 (0.6%)",2019-03-20,QQQ,-1.0347135356785089
"Benzinga Pro Mid-Day Price Check For Major Averages: Nasdaq Up 19 (0.3%), S&P 500 Flat, Dow 30 Down 47 (0.2%), Russell 2000 Down 3 (0.2%)",2019-03-20,QQQ,-1.0347135356785089
"Benzinga Pro Morning Price Check For Major Averages: Nasdaq Down 8 (0.1%), S&P 500 Down 10 (0.3%), Dow 30 Down 94 (0.4%), Russell 2000 Down 9 (0.6%)",2019-03-20,QQQ,-1.0347135356785089
This Day In Market History: Barron's Calls Dot-Com Bubble Top,2019-03-20,QQQ,-1.0347135356785089
"Benzinga Pro Afternoon Price Check For Major Averages: Nasdaq Flat, S&P 500 Down 3 (0.1%), Dow 30 Down 48 (0.2%), Russell 2000 Down 11 (0.7%)",2019-03-19,QQQ,0.0
"Benzinga Pro Mid-Day Price Check For Major Averages: Nasdaq Up 36 (0.5%), S&P 500 Up 12 (0.4%), Dow 30 Up 100 (0.4%), Russell 2000 Down 1 (0.1%)",2019-03-19,QQQ,0.0
"Benzinga Pro Morning Price Check For Major Averages: Dow 30 Up 127 (0.5%), S&P 500 Up 11 (0.4%), Russell 2000 Up 6 (0.4%), Nasdaq Up 26 (0.3%)",2019-03-19,QQQ,0.0
